index,dialogue,nextIndex
0,"환영합니다, 정화 팀 신입 요원.",1
1,당신은 하수구 정화 전문 기업의 특수 요원입니다.,2
2,최근 이 구역에서 통제 불가능한 오염이 감지되었습니다.,3
3,이 구역을 완전히 정화하십시오.,4
4,오염도를 100% 정화하면 구역이 안정화됩니다.,5
5,모든 작업은 협동과 장비 운용이 핵심입니다.,6
6,"현재 위치는 안전지대입니다.
이곳에서는 위험 요소가 발생하지 않습니다.",7
7,표시된 장소까지 이동하세요.,8
8,패널을 사용해 필요한 장비를 구매하세요.,9
9,"스테이지를 클리어하면 재화를 획득할 수 있으며, 획득한 재화로 아이템을 구매할 수 있습니다.
보유한 재화는 오른쪽 위에 표시됩니다.",10
10,"솔과 스패너, 총을 구매한 후 상점을 닫으세요.",11
11,바닥에 있는 아이템을 주워 장착하세요.,12
12,구매한 아이템은 i를 눌러 확인할 수 있습니다.,13
13,이제 작업을 시작 할 준비가 완료되었습니다. 문을 열고 앞으로 이동하세요.,14
14,"앞에 보이는 고체 쓰레기를 집어 표시된 곳으로 이동하여 소각로에 쓰레기를 집어넣은 후, 
버튼을 눌러 쓰레기를 소각시키세요. 소각 완료 시 진행도가 상승합니다.",15
15,표시된 장소까지 이동하세요.,16
16,"도구를 사용하여 앞에 보이는 얼룩을 제거하세요
얼룩을 제거할수록 진행도가 상승합니다.",17
17,맵을 돌아다니며 남은 얼룩을 제거하세요.,18
18,위험 개체 출현. 무기를 사용하여 제거하세요,19
19,완벽합니다. 위험 개체에게 공격을 받으면 중독 수치가 상승하니 최우선 적으로 제거하세요.,20
20,이제 남은 얼룩과 시체를 모두 제거하세요.,21
21,표시된 장소까지 이동하세요,22
22,"유독 가스 때문에 탈출구가 막혀있군요.
표시된 장소로 이동한 후, 스패너를 사용하여 배관을 수리하세요.",23
23,"성공입니다.  앞으로도 같은 방식으로 하수구들을 정화하여, 탈출에 성공하는 것이 당신의 임무입니다.",24
24,이제 실전 투입을 승인합니다. 표시된 곳으로 이동하여 다음 장소로 이동하세요.,25
25,행운을 빕니다. 요원.,-100
